model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
ols_core_raw_fit504_val126,ols,core,504,rank_ic,0.03476880305975505,0.0019521871133846387,17.810179578264925,5.892048163662076e-71,0.030942586626437948,0.038595019493072154,2266,2266,0,5,raw,full
ols_core_raw_fit504_val126,ols,core,504,ew_spread_bp,26.981663511121383,3.3938700422633183,7.950116879881393,1.863356301230587e-15,20.329800460075848,33.63352656216692,2266,2266,0,5,raw,full
ols_core_raw_fit504_val126,ols,core,504,cap_spread_bp,-2.1240905220326582,1.6640577294985681,-1.2764524237225305,0.20179563467794048,-5.385583740045347,1.1374026959800307,2266,2266,0,5,raw,full
ridge_core_raw_fit504_val126,ridge,core,504,rank_ic,0.034647970966093566,0.0019490519112038856,17.776833324409658,1.0684700620019951e-70,0.03082789941613499,0.03846804251605214,2266,2266,0,5,raw,full
ridge_core_raw_fit504_val126,ridge,core,504,ew_spread_bp,27.420989758333217,3.335643785178271,8.220598938105054,2.024893589431281e-16,20.883248074128943,33.95873144253749,2266,2266,0,5,raw,full
ridge_core_raw_fit504_val126,ridge,core,504,cap_spread_bp,-2.2110968767590418,1.6257268628610864,-1.36006664297087,0.17380883570966688,-5.397462976666059,0.9752692231479752,2266,2266,0,5,raw,full
lasso_core_raw_fit504_val126,lasso,core,504,rank_ic,0.03499380970747456,0.001968174824640567,17.77982792451642,1.0129039407207917e-70,0.03113625793590061,0.0388513614790485,2266,2266,0,5,raw,full
lasso_core_raw_fit504_val126,lasso,core,504,ew_spread_bp,27.791157860793028,3.3592042127988764,8.273137356432862,1.3047923397061974e-16,21.207238586992005,34.37507713459405,2266,2266,0,5,raw,full
lasso_core_raw_fit504_val126,lasso,core,504,cap_spread_bp,-2.4010325917837103,1.6341230480202629,-1.4693095447693225,0.1417488491182304,-5.6038549122102435,0.8017897286428224,2266,2266,0,5,raw,full
enet_core_raw_fit504_val126,enet,core,504,rank_ic,0.03499654157885338,0.0019680828104687784,17.782047276007425,9.735902077782193e-71,0.031139170151742206,0.03885391300596456,2266,2266,0,5,raw,full
enet_core_raw_fit504_val126,enet,core,504,ew_spread_bp,27.79252574953636,3.3588782743818313,8.274347409821305,1.291610603895193e-16,21.209245303293926,34.37580619577879,2266,2266,0,5,raw,full
enet_core_raw_fit504_val126,enet,core,504,cap_spread_bp,-2.400408324236097,1.6341903685730266,-1.4688670123127279,0.1418688635837757,-5.603362590521465,0.8025459420492713,2266,2266,0,5,raw,full
ols_all_raw_fit504_val126,ols,all,504,rank_ic,0.03282250606822043,0.0017769202028014885,18.471570088782006,3.497619076078149e-76,0.029339806467327905,0.03630520566911296,2266,2266,0,5,raw,full
ols_all_raw_fit504_val126,ols,all,504,ew_spread_bp,27.45177552695212,3.3776880004155534,8.12738640264428,4.386453743430181e-16,20.83162869512452,34.071922358779716,2266,2266,0,5,raw,full
ols_all_raw_fit504_val126,ols,all,504,cap_spread_bp,-1.0580493371142294,1.7609261934508562,-0.6008482019571693,0.5479410958651818,-4.50940125571112,2.393302581482661,2266,2266,0,5,raw,full
ridge_all_raw_fit504_val126,ridge,all,504,rank_ic,0.0345102803005425,0.00182770729091412,18.881732579445107,1.6121004840788587e-79,0.03092803983606955,0.038092520765015445,2266,2266,0,5,raw,full
ridge_all_raw_fit504_val126,ridge,all,504,ew_spread_bp,25.9006468077547,3.358523852593287,7.711913907580407,1.2394473672882577e-14,19.318061015453146,32.483232600056255,2266,2266,0,5,raw,full
ridge_all_raw_fit504_val126,ridge,all,504,cap_spread_bp,-0.8412905287667154,1.7144062757385126,-0.4907182974492518,0.6236257032709637,-4.201465084083645,2.5188840265502144,2266,2266,0,5,raw,full
