model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.06837476795308062,0.0034781171483162622,19.658558075359963,4.884124302130325e-86,0.06155778360836959,0.07519175229779165,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,23.116537788528024,5.6786185697042955,4.070803049152811,4.6851348257418044e-05,11.98664990996725,34.2464256670888,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,12.51478997740564,6.414561180037147,1.9509970559409593,0.05105739600306029,-0.05751891209591875,25.087098866907198,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06938038349030148,0.0036371520342943706,19.075469718098187,4.037783562194339e-81,0.062251696496787925,0.07650907048381504,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,20.219063338648112,5.926510330334248,3.4116304893891547,0.00064575585062605,8.603316537188407,31.83481014010782,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,15.59463200417698,6.560406351489811,2.3770832428140025,0.017450149599350068,2.7364718313091316,28.452792177044827,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06920770514992536,0.0036317247277401605,19.056429200510973,5.810779400091716e-81,0.06208965548179111,0.0763257548180596,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,20.134876205961607,5.932576340226532,3.3939514725558118,0.0006889189912651909,8.507240243583162,31.762512168340052,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,14.835017121256454,6.592231171957866,2.2503787768186707,0.024424911064989653,1.9144814464567652,27.755552796056143,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.06883576976342433,0.003604025060060532,19.099692320748787,2.5397937469604423e-81,0.06177201044632588,0.07589952908052278,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,20.27393701166745,5.8435904394905425,3.469431545828009,0.0005215609590047685,8.8207102098634,31.7271638134715,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,15.489852191523227,6.435532478514157,2.406926271173064,0.01608741730297973,2.8764403122976887,28.103264070748764,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.06863415069359384,0.003607443219509554,19.025705054042383,1.0447263077682925e-80,0.06156369190708189,0.07570460948010578,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,19.22410414986671,5.847743332268467,3.2874397964401187,0.0010110280395008893,7.762737827786273,30.68547047194715,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,12.118076177135894,6.476401381411263,1.87111259223641,0.0613294765769045,-0.5754372798556346,24.811589634127422,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.06866361255211713,0.0036142266317117167,18.99814802692594,1.7666916418489875e-80,0.061579858521996655,0.0757473665822376,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,20.34938402250017,5.843766510019551,3.482237695090951,0.0004972421044086847,8.895812128800527,31.802955916199814,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,15.327483069113054,6.468281062832175,2.3696377631434933,0.01780552037442587,2.649885144079528,28.00508099414658,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.06839741345057265,0.0036129149261358373,18.931365628286887,6.2910167478260395e-80,0.061316230316139225,0.07547859658500608,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,19.444639150942457,5.8563705432792545,3.3202542440312355,0.0008993550286641446,7.966363805993849,30.922914495891064,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,13.47433843625796,6.597656744558724,2.042291522269726,0.04112262254881311,0.5431688345650834,26.40550803795084,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.06936326492128594,0.003437548603273758,20.178119039605043,1.5243728353853581e-90,0.06262579346376342,0.07610073637880847,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,25.09723833034942,5.665313686069622,4.4299821194474625,9.424090173239631e-06,13.993427544531103,36.20104911616774,2266,2266,0,5,full,standard,original,none,fixed504,union,raw
