target,model_id,eligible_stock_days,prediction_stock_days,evaluated_stock_days,missing_prediction_stock_days,common_prediction_stock_days,common_scored_stock_days
raw,ld3_ols_characteristics_core_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_core_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_core_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_core_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_core_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_core_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_core_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_core_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_core_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ols_characteristics_textcore_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_textcore_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_textcore_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_textcore_full_raw_daily_rank_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_textcore_full_raw_daily_rank_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ols_characteristics_textcore_pca_raw_daily_rank_original_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ols_characteristics_textcore_pca_raw_daily_rank_original_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_pca_raw_daily_rank_original_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_pca_raw_daily_rank_original_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_pca_raw_daily_rank_expanded_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_pca_raw_daily_rank_expanded_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_pca_raw_daily_rank_original_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_pca_raw_daily_rank_original_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_pca_raw_daily_rank_expanded_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_pca_raw_daily_rank_expanded_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_textcore_pca_raw_daily_rank_original_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_textcore_pca_raw_daily_rank_original_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_textcore_pca_raw_daily_rank_expanded_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_textcore_pca_raw_daily_rank_expanded_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_textcore_pca_raw_daily_rank_original_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_textcore_pca_raw_daily_rank_original_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_textcore_pca_raw_daily_rank_expanded_original_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_textcore_pca_raw_daily_rank_expanded_expanded_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
dgtw,ld3_ols_characteristics_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ols_characteristics_core_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_core_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_core_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_core_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_core_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_core_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_core_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_core_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_core_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ols_characteristics_textcore_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_textcore_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_textcore_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_textcore_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_textcore_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_textcore_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_textcore_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_textcore_full_dgtw_standard_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_textcore_full_dgtw_standard_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ols_characteristics_textcore_pca_dgtw_standard_original_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ols_characteristics_textcore_pca_dgtw_standard_original_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_textcore_pca_dgtw_standard_original_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_textcore_pca_dgtw_standard_original_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_textcore_pca_dgtw_standard_expanded_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_textcore_pca_dgtw_standard_expanded_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_textcore_pca_dgtw_standard_original_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_textcore_pca_dgtw_standard_original_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_textcore_pca_dgtw_standard_expanded_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_textcore_pca_dgtw_standard_expanded_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_textcore_pca_dgtw_standard_original_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_textcore_pca_dgtw_standard_original_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_textcore_pca_dgtw_standard_expanded_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_textcore_pca_dgtw_standard_expanded_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_textcore_pca_dgtw_standard_original_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_textcore_pca_dgtw_standard_original_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_textcore_pca_dgtw_standard_expanded_original_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_group_ridge_characteristics_textcore_pca_dgtw_standard_expanded_expanded_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ols_characteristics_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_full_dgtw_daily_rank_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_full_dgtw_daily_rank_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_full_dgtw_daily_rank_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ols_characteristics_core_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_core_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_ridge_characteristics_core_full_dgtw_daily_rank_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_core_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_lasso_characteristics_core_full_dgtw_daily_rank_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_core_full_dgtw_daily_rank_original_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld3_enet_characteristics_core_full_dgtw_daily_rank_expanded_none_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
