model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,subgroup,stock_days
ols_core_raw_fit504_val126,ols,core,504,rank_ic,0.06189096288568218,0.0021495847279131225,28.79205554542978,2.6970595527698998e-182,0.05767785423725513,0.06610407153410923,2266,2266,0,5,raw,size_tercile_1,1010848
ols_core_raw_fit504_val126,ols,core,504,ew_spread_bp,70.97928598348844,6.034591138004029,11.762070430336593,6.121451146162408e-32,59.15170469157596,82.80686727540092,2266,2266,0,5,raw,size_tercile_1,1010848
ols_core_raw_fit504_val126,ols,core,504,cap_spread_bp,41.50503792127014,5.308857520916038,7.818073428745642,5.363790154539221e-15,31.099868381220105,51.91020746132017,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_core_raw_fit504_val126,ridge,core,504,rank_ic,0.062368078457246366,0.0021621146579690106,28.845870050125843,5.708784614211221e-183,0.058130411597180964,0.06660574531731177,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_core_raw_fit504_val126,ridge,core,504,ew_spread_bp,72.46488099034393,6.06441921419763,11.949187289146137,6.556323294811381e-33,60.57883774336388,84.35092423732398,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_core_raw_fit504_val126,ridge,core,504,cap_spread_bp,43.350448236367114,5.309130600802281,8.165263109145643,3.2073536643689994e-16,32.944743469575144,53.756153003159085,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_core_raw_fit504_val126,lasso,core,504,rank_ic,0.062354148918888026,0.00213013058801072,29.272453656054548,2.3259394872209367e-188,0.058179169684019885,0.06652912815375617,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_core_raw_fit504_val126,lasso,core,504,ew_spread_bp,72.66255373124885,5.996801384325548,12.116885165010531,8.596455422079185e-34,60.909038995530835,84.41606846696686,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_core_raw_fit504_val126,lasso,core,504,cap_spread_bp,43.76056688727339,5.259060553445768,8.32098555294276,8.723488318336041e-17,33.4529976100044,54.06813616454238,2266,2266,0,5,raw,size_tercile_1,1010848
enet_core_raw_fit504_val126,enet,core,504,rank_ic,0.06235736341340857,0.0021300050348638353,29.275688269626503,2.1155683354666517e-188,0.05818263025818647,0.06653209656863067,2266,2266,0,5,raw,size_tercile_1,1010848
enet_core_raw_fit504_val126,enet,core,504,ew_spread_bp,72.67005426769937,5.998654835374085,12.11439168647675,8.861917256962558e-34,60.91290683467912,84.42720170071962,2266,2266,0,5,raw,size_tercile_1,1010848
enet_core_raw_fit504_val126,enet,core,504,cap_spread_bp,43.761567720846685,5.259611108957449,8.320304831343515,8.773737108524706e-17,33.45291937460331,54.07021606709006,2266,2266,0,5,raw,size_tercile_1,1010848
ols_all_raw_fit504_val126,ols,all,504,rank_ic,0.05678059120878174,0.001987562836764278,28.56794771893586,1.68138004151744e-179,0.052885039631713496,0.060676142785849985,2266,2266,0,5,raw,size_tercile_1,1010848
ols_all_raw_fit504_val126,ols,all,504,ew_spread_bp,63.29890696454615,6.021662779008086,10.511865125561386,7.617197721588972e-26,51.49666479064493,75.10114913844737,2266,2266,0,5,raw,size_tercile_1,1010848
ols_all_raw_fit504_val126,ols,all,504,cap_spread_bp,37.59296079385505,5.4353176367182385,6.916423897638686,4.631870569398836e-12,26.939933981351942,48.245987606358156,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_all_raw_fit504_val126,ridge,all,504,rank_ic,0.05973749264125237,0.0020018664782595758,29.8408976272924,1.152249902780823e-195,0.05581390644200556,0.06366107884049917,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_all_raw_fit504_val126,ridge,all,504,ew_spread_bp,64.10063542836852,6.030617138280082,10.62919995724515,2.1797429254228243e-26,52.28084303278955,75.92042782394749,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_all_raw_fit504_val126,ridge,all,504,cap_spread_bp,37.857776812959635,5.444459194674186,6.953450372075966,3.5645838718763394e-12,27.186832876100283,48.52872074981899,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_all_raw_fit504_val126,lasso,all,504,rank_ic,0.05816693164572512,0.002053336436710274,28.328008311641565,1.5621518617106945e-176,0.05414246618162917,0.062191397109821064,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_all_raw_fit504_val126,lasso,all,504,ew_spread_bp,62.87185562319479,5.873068069339573,10.705112707856753,9.631338958385997e-27,51.36085372853704,74.38285751785254,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_all_raw_fit504_val126,lasso,all,504,cap_spread_bp,37.69653713864964,5.446135705773899,6.921703603287818,4.4624417386360125e-12,27.022307300415168,48.37076697688411,2266,2266,0,5,raw,size_tercile_1,1010848
enet_all_raw_fit504_val126,enet,all,504,rank_ic,0.05824107380391415,0.0020551517536537603,28.3390624076154,1.141648732695283e-176,0.054213050383988444,0.06226909722383985,2266,2266,0,5,raw,size_tercile_1,1010848
enet_all_raw_fit504_val126,enet,all,504,ew_spread_bp,62.996253817807485,5.870924627021501,10.730209944760848,7.342915725312564e-27,51.48945299289609,74.50305464271888,2266,2266,0,5,raw,size_tercile_1,1010848
enet_all_raw_fit504_val126,enet,all,504,cap_spread_bp,38.08469625549619,5.44267148819897,6.997426969103874,2.6070587580939042e-12,27.41725615894319,48.75213635204919,2266,2266,0,5,raw,size_tercile_1,1010848
ols_textcore_raw_fit504_val126,ols,textcore,504,rank_ic,0.05154252534114102,0.0018837330028318778,27.361905993925596,7.793703494337847e-165,0.04785047649910105,0.055234574183180986,2266,2266,0,5,raw,size_tercile_1,1010848
